subj,session,trial,rt,object_response,category,condition,imagename
resnet50,1,1,,airplane,airplane,,airplane1-bicycle2.png
resnet50,1,2,,airplane,airplane,,airplane1-chair2.png
resnet50,1,3,,airplane,airplane,,airplane1-clock1.png
resnet50,1,4,,bird,airplane,,airplane1-elephant1.png
resnet50,1,5,,airplane,airplane,,airplane10-airplane1.png
resnet50,1,6,,knife,airplane,,airplane10-bear3.png
resnet50,1,7,,airplane,airplane,,airplane10-boat3.png
resnet50,1,8,,airplane,airplane,,airplane10-car3.png
resnet50,1,9,,cat,airplane,,airplane10-cat2.png
resnet50,1,10,,oven,airplane,,airplane10-dog3.png
resnet50,1,11,,knife,airplane,,airplane10-elephant1.png
resnet50,1,12,,knife,airplane,,airplane10-knife3.png
resnet50,1,13,,airplane,airplane,,airplane10-oven2.png
resnet50,1,14,,car,airplane,,airplane10-truck1.png
resnet50,1,15,,cat,airplane,,airplane2-bear1.png
resnet50,1,16,,truck,airplane,,airplane2-bicycle1.png
resnet50,1,17,,knife,airplane,,airplane2-bird3.png
resnet50,1,18,,bottle,airplane,,airplane2-bottle1.png
resnet50,1,19,,oven,airplane,,airplane2-cat1.png
resnet50,1,20,,oven,airplane,,airplane2-dog1.png
resnet50,1,21,,airplane,airplane,,airplane3-airplane2.png
resnet50,1,22,,airplane,airplane,,airplane3-car1.png
resnet50,1,23,,airplane,airplane,,airplane3-cat1.png
resnet50,1,24,,airplane,airplane,,airplane3-chair3.png
resnet50,1,25,,airplane,airplane,,airplane3-clock1.png
resnet50,1,26,,airplane,airplane,,airplane3-dog1.png
resnet50,1,27,,knife,airplane,,airplane3-elephant1.png
resnet50,1,28,,airplane,airplane,,airplane3-keyboard2.png
resnet50,1,29,,airplane,airplane,,airplane3-oven1.png
resnet50,1,30,,airplane,airplane,,airplane4-airplane1.png
resnet50,1,31,,knife,airplane,,airplane4-bear3.png
resnet50,1,32,,oven,airplane,,airplane4-bicycle2.png
resnet50,1,33,,oven,airplane,,airplane4-bird3.png
resnet50,1,34,,airplane,airplane,,airplane4-boat3.png
resnet50,1,35,,bottle,airplane,,airplane4-bottle1.png
resnet50,1,36,,airplane,airplane,,airplane4-car1.png
resnet50,1,37,,oven,airplane,,airplane4-cat3.png
resnet50,1,38,,oven,airplane,,airplane4-dog2.png
resnet50,1,39,,knife,airplane,,airplane4-elephant1.png
resnet50,1,40,,airplane,airplane,,airplane4-keyboard3.png
resnet50,1,41,,chair,airplane,,airplane4-knife1.png
resnet50,1,42,,chair,airplane,,airplane4-truck2.png
resnet50,1,43,,bird,airplane,,airplane5-bear2.png
resnet50,1,44,,airplane,airplane,,airplane5-bicycle1.png
resnet50,1,45,,airplane,airplane,,airplane5-bird2.png
resnet50,1,46,,airplane,airplane,,airplane5-boat3.png
resnet50,1,47,,bottle,airplane,,airplane5-bottle3.png
