subj,session,trial,rt,object_response,category,condition,imagename
resnet50,1,1,,clock,airplane,,airplane1.png
resnet50,1,2,,knife,airplane,,airplane10.png
resnet50,1,3,,knife,airplane,,airplane2.png
resnet50,1,4,,chair,airplane,,airplane3.png
resnet50,1,5,,knife,airplane,,airplane4.png
resnet50,1,6,,airplane,airplane,,airplane5.png
resnet50,1,7,,knife,airplane,,airplane6.png
resnet50,1,8,,knife,airplane,,airplane7.png
resnet50,1,9,,knife,airplane,,airplane8.png
resnet50,1,10,,airplane,airplane,,airplane9.png
resnet50,1,11,,knife,bear,,bear1.png
resnet50,1,12,,knife,bear,,bear10.png
resnet50,1,13,,chair,bear,,bear2.png
resnet50,1,14,,knife,bear,,bear3.png
resnet50,1,15,,knife,bear,,bear4.png
resnet50,1,16,,bear,bear,,bear5.png
resnet50,1,17,,chair,bear,,bear6.png
resnet50,1,18,,knife,bear,,bear7.png
resnet50,1,19,,chair,bear,,bear8.png
resnet50,1,20,,knife,bear,,bear9.png
resnet50,1,21,,bicycle,bicycle,,bicycle1.png
resnet50,1,22,,bicycle,bicycle,,bicycle10.png
resnet50,1,23,,bicycle,bicycle,,bicycle2.png
resnet50,1,24,,bicycle,bicycle,,bicycle3.png
resnet50,1,25,,clock,bicycle,,bicycle4.png
resnet50,1,26,,bicycle,bicycle,,bicycle5.png
resnet50,1,27,,knife,bicycle,,bicycle6.png
resnet50,1,28,,bicycle,bicycle,,bicycle7.png
resnet50,1,29,,bicycle,bicycle,,bicycle8.png
resnet50,1,30,,bicycle,bicycle,,bicycle9.png
resnet50,1,31,,chair,bird,,bird1.png
resnet50,1,32,,knife,bird,,bird10.png
resnet50,1,33,,knife,bird,,bird2.png
resnet50,1,34,,knife,bird,,bird3.png
resnet50,1,35,,knife,bird,,bird4.png
resnet50,1,36,,bird,bird,,bird5.png
resnet50,1,37,,knife,bird,,bird6.png
resnet50,1,38,,knife,bird,,bird7.png
resnet50,1,39,,knife,bird,,bird8.png
resnet50,1,40,,chair,bird,,bird9.png
resnet50,1,41,,knife,boat,,boat1.png
resnet50,1,42,,knife,boat,,boat10.png
resnet50,1,43,,knife,boat,,boat2.png
resnet50,1,44,,chair,boat,,boat3.png
resnet50,1,45,,knife,boat,,boat4.png
resnet50,1,46,,clock,boat,,boat5.png
resnet50,1,47,,knife,boat,,boat6.png
resnet50,1,48,,knife,boat,,boat7.png
resnet50,1,49,,knife,boat,,boat8.png
resnet50,1,50,,clock,boat,,boat9.png
resnet50,1,51,,bottle,bottle,,bottle1.png
resnet50,1,52,,bottle,bottle,,bottle10.png
resnet50,1,53,,bottle,bottle,,bottle2.png
resnet50,1,54,,bottle,bottle,,bottle3.png
resnet50,1,55,,bottle,bottle,,bottle4.png
resnet50,1,56,,bottle,bottle,,bottle5.png
resnet50,1,57,,bottle,bottle,,bottle6.png
resnet50,1,58,,bottle,bottle,,bottle7.png
resnet50,1,59,,bottle,bottle,,bottle8.png
resnet50,1,60,,bottle,bottle,,bottle9.png
resnet50,1,61,,knife,car,,car1.png
resnet50,1,62,,knife,car,,car10.png
resnet50,1,63,,knife,car,,car2.png
resnet50,1,64,,knife,car,,car3.png
resnet50,1,65,,knife,car,,car4.png
resnet50,1,66,,chair,car,,car5.png
resnet50,1,67,,knife,car,,car6.png
resnet50,1,68,,knife,car,,car7.png
resnet50,1,69,,knife,car,,car8.png
resnet50,1,70,,knife,car,,car9.png
resnet50,1,71,,cat,cat,,cat1.png
resnet50,1,72,,knife,cat,,cat10.png
resnet50,1,73,,clock,cat,,cat2.png
resnet50,1,74,,cat,cat,,cat3.png
resnet50,1,75,,knife,cat,,cat4.png
resnet50,1,76,,chair,cat,,cat5.png
resnet50,1,77,,cat,cat,,cat6.png
resnet50,1,78,,cat,cat,,cat7.png
resnet50,1,79,,cat,cat,,cat8.png
resnet50,1,80,,cat,cat,,cat9.png
resnet50,1,81,,chair,chair,,chair1.png
resnet50,1,82,,chair,chair,,chair10.png
resnet50,1,83,,chair,chair,,chair2.png
resnet50,1,84,,chair,chair,,chair3.png
resnet50,1,85,,chair,chair,,chair4.png
resnet50,1,86,,chair,chair,,chair5.png
resnet50,1,87,,chair,chair,,chair6.png
resnet50,1,88,,chair,chair,,chair7.png
resnet50,1,89,,chair,chair,,chair8.png
resnet50,1,90,,chair,chair,,chair9.png
resnet50,1,91,,knife,clock,,clock1.png
resnet50,1,92,,bottle,clock,,clock10.png
resnet50,1,93,,clock,clock,,clock2.png
resnet50,1,94,,clock,clock,,clock3.png
resnet50,1,95,,knife,clock,,clock4.png
resnet50,1,96,,clock,clock,,clock5.png
resnet50,1,97,,bottle,clock,,clock6.png
resnet50,1,98,,chair,clock,,clock7.png
resnet50,1,99,,chair,clock,,clock8.png
resnet50,1,100,,clock,clock,,clock9.png
resnet50,1,101,,knife,dog,,dog1.png
resnet50,1,102,,knife,dog,,dog10.png
resnet50,1,103,,chair,dog,,dog2.png
resnet50,1,104,,chair,dog,,dog3.png
resnet50,1,105,,knife,dog,,dog4.png
resnet50,1,106,,chair,dog,,dog5.png
resnet50,1,107,,knife,dog,,dog6.png
resnet50,1,108,,knife,dog,,dog7.png
resnet50,1,109,,elephant,dog,,dog8.png
resnet50,1,110,,knife,dog,,dog9.png
resnet50,1,111,,elephant,elephant,,elephant1.png
resnet50,1,112,,bottle,elephant,,elephant10.png
resnet50,1,113,,chair,elephant,,elephant2.png
resnet50,1,114,,knife,elephant,,elephant3.png
resnet50,1,115,,knife,elephant,,elephant4.png
resnet50,1,116,,bear,elephant,,elephant5.png
resnet50,1,117,,knife,elephant,,elephant6.png
resnet50,1,118,,elephant,elephant,,elephant7.png
resnet50,1,119,,elephant,elephant,,elephant8.png
resnet50,1,120,,knife,elephant,,elephant9.png
resnet50,1,121,,knife,keyboard,,keyboard1.png
resnet50,1,122,,knife,keyboard,,keyboard10.png
resnet50,1,123,,knife,keyboard,,keyboard2.png
resnet50,1,124,,knife,keyboard,,keyboard3.png
resnet50,1,125,,knife,keyboard,,keyboard4.png
resnet50,1,126,,knife,keyboard,,keyboard5.png
resnet50,1,127,,knife,keyboard,,keyboard6.png
resnet50,1,128,,knife,keyboard,,keyboard7.png
resnet50,1,129,,knife,keyboard,,keyboard8.png
resnet50,1,130,,knife,keyboard,,keyboard9.png
resnet50,1,131,,knife,knife,,knife1.png
resnet50,1,132,,knife,knife,,knife10.png
resnet50,1,133,,knife,knife,,knife2.png
resnet50,1,134,,knife,knife,,knife3.png
resnet50,1,135,,knife,knife,,knife4.png
resnet50,1,136,,knife,knife,,knife5.png
resnet50,1,137,,knife,knife,,knife6.png
resnet50,1,138,,knife,knife,,knife7.png
resnet50,1,139,,knife,knife,,knife8.png
resnet50,1,140,,knife,knife,,knife9.png
resnet50,1,141,,knife,oven,,oven1.png
resnet50,1,142,,knife,oven,,oven10.png
resnet50,1,143,,clock,oven,,oven2.png
resnet50,1,144,,knife,oven,,oven3.png
resnet50,1,145,,knife,oven,,oven4.png
resnet50,1,146,,bottle,oven,,oven5.png
resnet50,1,147,,knife,oven,,oven6.png
resnet50,1,148,,knife,oven,,oven7.png
resnet50,1,149,,knife,oven,,oven8.png
resnet50,1,150,,knife,oven,,oven9.png
resnet50,1,151,,knife,truck,,truck1.png
resnet50,1,152,,chair,truck,,truck10.png
resnet50,1,153,,knife,truck,,truck2.png
resnet50,1,154,,knife,truck,,truck3.png
resnet50,1,155,,chair,truck,,truck4.png
resnet50,1,156,,knife,truck,,truck5.png
resnet50,1,157,,knife,truck,,truck6.png
resnet50,1,158,,knife,truck,,truck7.png
resnet50,1,159,,knife,truck,,truck8.png
resnet50,1,160,,knife,truck,,truck9.png
