subj,session,trial,rt,object_response,category,condition,imagename
resnet50,1,1,,bottle,airplane,,airplane1-bicycle2.png
resnet50,1,2,,chair,airplane,,airplane1-chair2.png
resnet50,1,3,,clock,airplane,,airplane1-clock1.png
resnet50,1,4,,elephant,airplane,,airplane1-elephant1.png
resnet50,1,5,,airplane,airplane,,airplane10-airplane1.png
resnet50,1,6,,bear,airplane,,airplane10-bear3.png
resnet50,1,7,,chair,airplane,,airplane10-boat3.png
resnet50,1,8,,car,airplane,,airplane10-car3.png
resnet50,1,9,,cat,airplane,,airplane10-cat2.png
resnet50,1,10,,dog,airplane,,airplane10-dog3.png
resnet50,1,11,,elephant,airplane,,airplane10-elephant1.png
resnet50,1,12,,knife,airplane,,airplane10-knife3.png
resnet50,1,13,,oven,airplane,,airplane10-oven2.png
resnet50,1,14,,car,airplane,,airplane10-truck1.png
resnet50,1,15,,bear,airplane,,airplane2-bear1.png
resnet50,1,16,,bicycle,airplane,,airplane2-bicycle1.png
resnet50,1,17,,oven,airplane,,airplane2-bird3.png
resnet50,1,18,,bottle,airplane,,airplane2-bottle1.png
resnet50,1,19,,cat,airplane,,airplane2-cat1.png
resnet50,1,20,,dog,airplane,,airplane2-dog1.png
resnet50,1,21,,car,airplane,,airplane3-airplane2.png
resnet50,1,22,,bottle,airplane,,airplane3-car1.png
resnet50,1,23,,dog,airplane,,airplane3-cat1.png
resnet50,1,24,,boat,airplane,,airplane3-chair3.png
resnet50,1,25,,clock,airplane,,airplane3-clock1.png
resnet50,1,26,,dog,airplane,,airplane3-dog1.png
resnet50,1,27,,elephant,airplane,,airplane3-elephant1.png
resnet50,1,28,,keyboard,airplane,,airplane3-keyboard2.png
resnet50,1,29,,oven,airplane,,airplane3-oven1.png
resnet50,1,30,,airplane,airplane,,airplane4-airplane1.png
resnet50,1,31,,bear,airplane,,airplane4-bear3.png
resnet50,1,32,,bottle,airplane,,airplane4-bicycle2.png
resnet50,1,33,,oven,airplane,,airplane4-bird3.png
resnet50,1,34,,boat,airplane,,airplane4-boat3.png
resnet50,1,35,,bottle,airplane,,airplane4-bottle1.png
resnet50,1,36,,bottle,airplane,,airplane4-car1.png
resnet50,1,37,,cat,airplane,,airplane4-cat3.png
