subj,session,trial,rt,object_response,category,condition,imagename
resnet50,1,1,,knife,airplane,,airplane1.png
resnet50,1,2,,knife,airplane,,airplane10.png
resnet50,1,3,,knife,airplane,,airplane2.png
resnet50,1,4,,knife,airplane,,airplane3.png
resnet50,1,5,,knife,airplane,,airplane4.png
resnet50,1,6,,knife,airplane,,airplane5.png
resnet50,1,7,,knife,airplane,,airplane6.png
resnet50,1,8,,knife,airplane,,airplane7.png
resnet50,1,9,,knife,airplane,,airplane8.png
resnet50,1,10,,knife,airplane,,airplane9.png
resnet50,1,11,,knife,bear,,bear1.png
resnet50,1,12,,knife,bear,,bear10.png
resnet50,1,13,,knife,bear,,bear2.png
resnet50,1,14,,knife,bear,,bear3.png
resnet50,1,15,,knife,bear,,bear4.png
resnet50,1,16,,knife,bear,,bear5.png
resnet50,1,17,,knife,bear,,bear6.png
resnet50,1,18,,knife,bear,,bear7.png
resnet50,1,19,,knife,bear,,bear8.png
resnet50,1,20,,knife,bear,,bear9.png
resnet50,1,21,,knife,bicycle,,bicycle1.png
resnet50,1,22,,knife,bicycle,,bicycle10.png
resnet50,1,23,,knife,bicycle,,bicycle2.png
resnet50,1,24,,knife,bicycle,,bicycle3.png
resnet50,1,25,,knife,bicycle,,bicycle4.png
resnet50,1,26,,clock,bicycle,,bicycle5.png
resnet50,1,27,,knife,bicycle,,bicycle6.png
resnet50,1,28,,clock,bicycle,,bicycle7.png
resnet50,1,29,,knife,bicycle,,bicycle8.png
resnet50,1,30,,clock,bicycle,,bicycle9.png
resnet50,1,31,,knife,bird,,bird1.png
resnet50,1,32,,knife,bird,,bird10.png
resnet50,1,33,,knife,bird,,bird2.png
resnet50,1,34,,knife,bird,,bird3.png
resnet50,1,35,,knife,bird,,bird4.png
resnet50,1,36,,knife,bird,,bird5.png
resnet50,1,37,,knife,bird,,bird6.png
resnet50,1,38,,knife,bird,,bird7.png
resnet50,1,39,,knife,bird,,bird8.png
resnet50,1,40,,knife,bird,,bird9.png
resnet50,1,41,,knife,boat,,boat1.png
resnet50,1,42,,knife,boat,,boat10.png
resnet50,1,43,,knife,boat,,boat2.png
resnet50,1,44,,knife,boat,,boat3.png
resnet50,1,45,,knife,boat,,boat4.png
resnet50,1,46,,knife,boat,,boat5.png
resnet50,1,47,,knife,boat,,boat6.png
resnet50,1,48,,knife,boat,,boat7.png
resnet50,1,49,,knife,boat,,boat8.png
resnet50,1,50,,knife,boat,,boat9.png
resnet50,1,51,,bottle,bottle,,bottle1.png
resnet50,1,52,,knife,bottle,,bottle10.png
resnet50,1,53,,bottle,bottle,,bottle2.png
resnet50,1,54,,knife,bottle,,bottle3.png
resnet50,1,55,,bottle,bottle,,bottle4.png
resnet50,1,56,,clock,bottle,,bottle5.png
resnet50,1,57,,bottle,bottle,,bottle6.png
resnet50,1,58,,knife,bottle,,bottle7.png
resnet50,1,59,,knife,bottle,,bottle8.png
resnet50,1,60,,knife,bottle,,bottle9.png
resnet50,1,61,,knife,car,,car1.png
resnet50,1,62,,knife,car,,car10.png
resnet50,1,63,,knife,car,,car2.png
resnet50,1,64,,knife,car,,car3.png
resnet50,1,65,,knife,car,,car4.png
resnet50,1,66,,knife,car,,car5.png
resnet50,1,67,,knife,car,,car6.png
resnet50,1,68,,knife,car,,car7.png
resnet50,1,69,,knife,car,,car8.png
resnet50,1,70,,knife,car,,car9.png
resnet50,1,71,,knife,cat,,cat1.png
resnet50,1,72,,knife,cat,,cat10.png
resnet50,1,73,,knife,cat,,cat2.png
resnet50,1,74,,knife,cat,,cat3.png
resnet50,1,75,,knife,cat,,cat4.png
resnet50,1,76,,knife,cat,,cat5.png
resnet50,1,77,,knife,cat,,cat6.png
resnet50,1,78,,knife,cat,,cat7.png
resnet50,1,79,,knife,cat,,cat8.png
resnet50,1,80,,knife,cat,,cat9.png
resnet50,1,81,,knife,chair,,chair1.png
resnet50,1,82,,knife,chair,,chair10.png
resnet50,1,83,,knife,chair,,chair2.png
resnet50,1,84,,chair,chair,,chair3.png
resnet50,1,85,,knife,chair,,chair4.png
resnet50,1,86,,knife,chair,,chair5.png
resnet50,1,87,,knife,chair,,chair6.png
resnet50,1,88,,knife,chair,,chair7.png
resnet50,1,89,,bottle,chair,,chair8.png
resnet50,1,90,,knife,chair,,chair9.png
resnet50,1,91,,knife,clock,,clock1.png
resnet50,1,92,,knife,clock,,clock10.png
resnet50,1,93,,clock,clock,,clock2.png
resnet50,1,94,,knife,clock,,clock3.png
resnet50,1,95,,clock,clock,,clock4.png
resnet50,1,96,,clock,clock,,clock5.png
resnet50,1,97,,clock,clock,,clock6.png
resnet50,1,98,,chair,clock,,clock7.png
resnet50,1,99,,clock,clock,,clock8.png
resnet50,1,100,,clock,clock,,clock9.png
resnet50,1,101,,knife,dog,,dog1.png
resnet50,1,102,,knife,dog,,dog10.png
resnet50,1,103,,knife,dog,,dog2.png
resnet50,1,104,,knife,dog,,dog3.png
resnet50,1,105,,knife,dog,,dog4.png
